Time,Machine A,Machine B,Detector α 1,Detector α 2,Detector β 1 ,Detector β 2,Diverter ψ 1,Diverter ψ 2,Detector δ 1,Detector δ 2
hh:mm:ss,RPM,RPM,,,,,,,,
01:13:04,6536,8285,0,1,0,1,1,1,0,1
01:13:09,6536,8285,0,1,0,1,1,1,0,1
01:13:14,6536,8285,0,1,0,1,1,1,0,1
01:13:19,6536,8285,0,1,0,1,1,1,0,1
01:13:24,6536,8285,0,1,0,0,1,1,0,1
01:13:29,6536,8285,0,1,0,1,1,1,0,1
01:13:34,6536,8285,0,1,0,1,1,1,0,0
01:13:39,6536,8285,0,0,0,1,1,1,0,0
01:13:44,6536,8285,0,0,0,1,1,1,0,1
01:13:49,6536,8285,0,1,0,1,1,1,0,1
01:13:54,6536,8285,0,1,0,1,1,1,0,1
01:13:59,6536,8285,0,1,0,1,1,1,0,1
01:14:04,6536,8285,0,1,0,1,1,1,0,1
01:14:09,6536,8285,0,1,0,1,1,1,0,1
01:14:14,6536,8285,0,1,0,1,1,1,0,1
01:14:19,6536,8285,0,1,0,1,1,1,0,1
01:14:24,6536,8285,0,1,0,1,1,1,0,1
01:14:29,6536,8285,0,1,0,1,1,1,0,1
01:14:34,6536,8285,0,1,0,1,1,1,0,1
01:14:39,6536,8285,0,1,0,1,1,1,0,1
01:14:44,6536,8285,0,1,0,1,1,1,0,1
01:14:49,6536,8285,0,1,0,1,1,1,0,1
01:14:54,6536,8285,0,1,0,1,1,1,0,1
01:14:59,6536,8285,0,1,0,1,1,1,0,1
01:15:04,6536,8285,0,1,0,1,1,1,0,1
01:15:09,6536,8285,0,1,0,1,1,1,0,1
01:15:14,6536,8285,0,1,0,1,1,1,0,1
01:15:19,6536,8285,0,1,0,1,1,1,0,1
01:15:24,6536,8285,0,1,0,1,1,1,0,1
01:15:29,6536,8285,0,1,0,1,1,1,0,1
01:15:34,6536,8285,0,1,0,1,1,1,0,1
01:15:39,6536,8285,0,1,0,1,1,1,0,1
01:15:44,6536,8285,0,1,0,1,1,1,0,1
01:15:49,6536,8285,0,1,0,1,1,1,0,1
01:15:54,6536,8285,0,1,0,1,1,1,0,1
01:15:59,6536,8285,0,1,0,0,1,1,0,1
01:16:04,6536,8285,0,1,0,1,1,1,0,1
01:16:09,6536,8285,0,1,0,1,1,1,0,1
01:16:14,6536,8285,0,0,0,1,1,1,0,0
01:16:19,6536,8285,0,0,0,1,1,1,0,1
01:16:24,6536,8285,0,1,0,1,1,1,0,1
01:16:29,6536,8285,0,1,0,1,1,1,0,1
01:16:34,6536,8285,0,1,0,1,1,1,0,1
01:16:39,6536,8285,0,1,0,1,1,1,0,1
01:16:44,6536,8285,0,1,0,1,1,1,0,1
01:16:49,6536,8285,0,1,0,1,1,1,0,1
01:16:54,6536,8285,0,1,0,1,1,1,0,1
01:16:59,6536,8285,0,1,0,1,1,1,0,1
01:17:04,6536,8285,0,1,0,1,1,1,0,1
01:17:09,6536,8285,0,1,0,1,1,1,0,1
01:17:14,6536,8285,0,1,0,1,1,1,0,1
01:17:19,6536,8285,0,1,0,1,1,1,0,1
01:17:24,6536,8285,0,1,0,1,1,1,0,1
01:17:29,6536,8285,0,1,0,1,1,1,0,1
01:17:34,6536,8285,0,1,0,1,1,1,0,1
01:17:39,6536,8285,0,1,0,1,1,1,0,1
01:17:44,6536,8285,0,1,0,1,1,1,0,1
01:17:49,6536,8285,0,1,0,1,1,1,0,1
01:17:54,6536,8285,0,1,0,1,1,1,0,1
