Product_ID,Classification
0,Lumpy
1,Lumpy
2,Lumpy
3,Lumpy
4,Loose Wap
5,Lumpy
6,Lumpy
7,Lumpy
8,Lighting
9,Lumpy
10,Lumpy
11,Lumpy
12,Lighting
13,Lighting
14,Loose Wap
15,Lumpy
16,Lighting
17,Lumpy
18,Lumpy
19,Lumpy
20,Loose Wap
21,Lumpy
22,Loose Wap
23,Offset
24,Lumpy
25,Lumpy
26,Lumpy
27,Loose Wap
28,Good
29,Good
30,Lumpy
31,Lumpy
32,Lumpy
33,Loose Wap
34,Loose Wap
35,Loose Wap
36,Lumpy
37,Loose Wap
38,Loose Wap
39,Lumpy
40,Loose Wap
41,Loose Wap
42,Lighting
43,Lumpy
44,Lumpy
45,Lumpy
46,Loose Wap
47,Good
48,Lumpy
49,Lumpy
50,Lumpy
51,Lumpy
52,Sloped
53,Lumpy
54,Lumpy
55,Lumpy
56,Good
57,Loose Wap
58,Lighting
59,Loose Wap
60,Lighting
61,Lumpy
62,Lumpy
63,Good
64,Lighting
65,Lumpy
66,Lighting
67,Lumpy
68,Loose Wap
69,Lighting
70,Loose Wap
71,Lumpy
72,Lumpy
73,Lumpy
74,Lighting
75,Lumpy
76,Lighting
77,Lighting
78,Lighting
79,Lighting
80,Lumpy
81,Loose Wap
82,Loose Wap
83,Lighting
84,Lighting
85,Lighting
86,Lumpy
87,Lighting
88,Lighting
89,Lumpy
90,Lumpy
91,Lumpy
92,Lighting
93,Lighting
94,Lumpy
95,Lumpy
96,Lumpy
97,Good
98,Lumpy
99,Good
100,Offset
101,Lighting
102,Good
103,Good
104,Good
105,Good
106,Good
107,Good
108,Lumpy
109,Lumpy
110,Lighting
111,Good
112,Good
113,Lumpy
114,Loose Wap
115,Lumpy
116,Lighting
117,Good
118,Lumpy
119,Loose Wap
120,Lumpy
121,Lumpy
122,Lumpy
123,Lighting
124,Lumpy
125,Lumpy
126,Lumpy
127,Lighting
128,Lumpy
129,Lumpy
130,Lumpy
131,Lumpy
132,Lumpy
133,Good
134,Lighting
135,Lumpy
136,Loose Wap
137,Lighting
138,Lumpy
139,Lumpy
140,Lighting
141,Good
142,Loose Wap
143,Loose Wap
144,Lumpy
145,Good
146,Loose Wap
147,Lumpy
148,Good
149,Loose Wap
150,Lighting
151,Lumpy
152,Good
153,Lumpy
154,Lumpy
155,Lumpy
156,Good
157,Good
158,Loose Wap
159,Lumpy
160,Offset
161,Lumpy
162,Offset
163,Lighting
164,Lighting
165,Good
166,Lighting
167,Lighting
168,Good
169,Lumpy
170,Lumpy
171,Lighting
172,Lumpy
173,Good
174,Lumpy
175,Lumpy
176,Lumpy
177,Lumpy
178,Good
179,Good
180,Lumpy
181,Lighting
182,Lighting
183,Lumpy
184,Lumpy
185,Good
186,Lighting
187,Lighting
188,Lumpy
189,Good
190,Good
191,Lumpy
192,Good
193,Lumpy
194,Lumpy
195,Good
196,Lumpy
197,Lighting
198,Good
199,Offset
200,Lumpy
201,Lighting
202,Good
203,Good
204,Lumpy
205,Lighting
206,Good
207,Lumpy
208,Good
209,Good
210,Lumpy
211,Lumpy
212,Lumpy
213,Lumpy
214,Sloped
215,Good
216,Lumpy
217,Lumpy
218,Lumpy
219,Good
220,Lumpy
221,Lighting
222,Loose Wap
223,Loose Wap
224,Lumpy
225,Lumpy
226,Loose Wap
227,Lumpy
228,Lumpy
229,Lighting
230,Lumpy
231,Lumpy
232,Loose Wap
233,Loose Wap
234,Lighting
235,Lumpy
236,Offset
237,Good
238,Lighting
239,Lighting
240,Lighting
241,Good
242,Lumpy
243,Lighting
244,Lighting
245,Lighting
246,Lumpy
247,Lighting
248,Lighting
249,Lumpy
250,Lighting
251,Lighting
252,Lumpy
253,Good
254,Lighting
255,Lighting
256,Lumpy
257,Lighting
258,Good
259,Lumpy
260,Lumpy
261,Lumpy
262,Lumpy
263,Lumpy
264,Lumpy
265,Good
266,Lumpy
267,Loose Wap
268,Lumpy
269,Lumpy
270,Loose Wap
271,Lighting
272,Loose Wap
273,Lighting
274,Good
275,Lumpy
276,Lumpy
277,Good
278,Good
279,Good
280,Good
281,Lumpy
282,Lumpy
283,Lighting
284,Good
285,Good
286,Good
287,Lumpy
288,Lighting
289,Lighting
290,Lighting
291,Lighting
292,Lumpy
293,Good
294,Good
295,Good
296,Good
297,Good
298,Good
299,Lumpy
300,Good
301,Good
302,Good
303,Good
304,Good
305,Good
306,Good
307,Good
308,Lighting
309,Good
310,Good
311,Lighting
312,Lumpy
313,Good
314,Loose Wap
315,Lumpy
316,Lumpy
317,Lumpy
318,Loose Wap
319,Loose Wap
320,Loose Wap
321,Good
322,Lumpy
323,Lumpy
324,Good
325,Good
326,Lumpy
327,Good
328,Lighting
329,Lumpy
330,Lumpy
331,Lighting
332,Lumpy
333,Lighting
334,Good
335,Lumpy
336,Lumpy
337,Lumpy
338,Good
339,Good
340,Lumpy
341,Lumpy
342,Good
343,Good
344,Lumpy
345,Good
346,Lumpy
347,Good
348,Good
349,Lumpy
350,Lumpy
351,Sloped
352,Lumpy
353,Lumpy
354,Loose Wap
355,Lumpy
356,Lumpy
357,Lumpy
358,Good
359,Good
360,Lumpy
361,Lumpy
362,Good
363,Lumpy
364,Good
365,Lighting
366,Lumpy
367,Lighting
368,Lumpy
369,Lumpy
370,Lighting
371,Good
372,Lumpy
373,Loose Wap
374,Lumpy
375,Lumpy
376,Lighting
377,Offset
378,Lumpy
379,Lumpy
380,Lumpy
381,Lighting
382,Lumpy
383,Lumpy
384,Lumpy
385,Lumpy
386,Lumpy
387,Lumpy
388,Lumpy
389,Good
390,Lumpy
391,Lumpy
392,Lumpy
393,Lumpy
394,Lumpy
395,Lumpy
396,Lighting
397,Lumpy
398,Lumpy
399,Lumpy
400,Lumpy
401,Lumpy
402,Lumpy
403,Lumpy
404,Loose Wap
405,Lighting
406,Lumpy
407,Lumpy
408,Lumpy
